title（注意，所有单元格都不要包含换行符）,variant,price,imgUrl,link,l2,l3,inviteId,modelId,final_1688_link,price judge,上传日期,itemid,最大价格,价格档位,空置，该列请勿删除，否则会导致数据错乱,l4
Pureen FCB 折叠式奶瓶及奶嘴清洁刷,浅蓝色,0.91,https://cf.shopee.com.my/file/43eeee9b07fdd37e8d5f8132175cc132,http://shopee.com.my/product/16532375/187222250,哺育必备品,奶瓶,IVCN202605260001,124232309,https://detail.1688.com/offer/714099685748.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,爆品竞价,5月26日,187222250,0.91,低价品,,瓶子清洁
SIMBA (Wide Neck/Cross Hole) Anti-Colic Nipple (Twin Pack) Puting Anti Kolik botol 宽口奶瓶防胀风奶嘴(十字洞),十字孔 XL：12个月以上,22.78,https://cf.shopee.com.my/file/9d50375091c95d56aad017cde0b85eed,http://shopee.com.my/product/8088572/702077863,哺育必备品,奶瓶,IVCN202605260003,549987258,https://detail.1688.com/offer/904437053896.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i8&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,爆品竞价,5月26日,702077863,22.78,高价品,,奶瓶及奶瓶配件
汤美天地天然启动奶嘴 - 快速流量。,1包2件,4.5,https://cf.shopee.com.my/file/my-11134207-820l7-mft7kiss8xlb4d,http://shopee.com.my/product/27984488/1122447740,哺育必备品,奶瓶,IVCN202605260005,1131396519,https://detail.1688.com/offer/946072337250.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i4&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,5月26日,1122447740,4.5,中价品,,奶瓶及奶瓶配件
儿童自喂勺叉不锈钢餐具,勺子,1.6,https://cf.shopee.com.my/file/sg-11134201-8258f-mfw35xdyqp6we5,http://shopee.com.my/product/54401608/1355215687,哺育必备品,餐具,IVCN202605260007,1824306598,https://detail.1688.com/offer/920541773513.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i21&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,爆品竞价,5月26日,1355215687,1.6,低价品,,婴儿餐具
婴儿及儿童如厕训练升级版马桶便盆 婴儿儿童幼儿教育便盆 BTP,粉色的,16.16,https://cf.shopee.com.my/file/sg-11134201-821g1-mh17o4vg2kge69,http://shopee.com.my/product/54401608/1786257660,尿布与坐便器,如厕训练器及坐便器,IVCN202605260009,2995645376,https://detail.1688.com/offer/853460850391.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i6&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,爆品竞价,5月26日,1786257660,16.16,高价品,,
里拉木琴全套装备，含琴盒、琴槌和背带。,和,95.82,https://cf.shopee.ph/file/704ca89e2a0471b06d510ef8b7f07cd8,http://shopee.ph/product/119577304/2390800120,玩具,益智类玩具,IVCN202605260011,4886969816,https://detail.1688.com/offer/840986326555.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bf8ca8917790719849363631e0c18&token=Rs%2Fq4Q%2FRkK2ZpME%2FiLT9pY497nj3YJ6%2FY0oVjj%2BbfMk0sAk1EBPrGvPk7o%2F15QWH,爆品竞价,5月26日,2390800120,95.82,高价品,,音乐玩具
Pur Ridge 运动吸管杯,绿色的,2.07,https://cf.shopee.ph/file/d7cdaf5388dc6f161828e50979995470,http://shopee.ph/product/156184064/2533576956,哺育必备品,餐具,IVCN202605260013,5525998421,https://detail.1688.com/offer/891455941934.html?spm=a26352.b28411319/2508.0.0,爆品竞价,5月26日,2533576956,2.07,中价品,,婴儿杯
会说话的婴儿玩具仿真硅胶娃娃,随机设计,9.14,https://cf.shopee.ph/file/ph-11134211-23020-j07ifwtjywnvaf,http://shopee.ph/product/49774713/3500383339,玩具,娃娃与毛绒玩具,IVCN202605260015,7669455131,https://detail.1688.com/offer/584726066368.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0&tracelog=cps&clickid=ce93ae1756ae75d4ad5220554c4232a3&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DD2DC7A927D55C03D6511A0CCA913FD65D6FA062685DFF8F7D920A558D1D5758C4B369BE324A83E744B8F19128B0D93E33FB8088B45F57B9E47F28FD2CC0E231B18AD4F779334558760FEF997084D4D5331EB6FC8DBCADED4C6C8CEEEE21320CC4BD39EA2FE12E3B1D4A17A95BCB27E38A1DD58DCDC13907258398D824A27B15C2DE6CC53D0E9BCC7348394BC3CC3C62B9992F8828C4BE892EAEED4E61DEB504F872588294CA91407BC3ED6D0EA275D14BDAA3A36A2B6D8167E47517B6AA5BA4B1E57192FE5DB0D6490AB8E059B4D34CD613F93CDE0BC6DFFF38B1D17D8A888E2DD4CF47E9577DEF36C040D4D1D8FD4B1%26cbu_cps_trace_flag%3Dwrite,爆品竞价,5月26日,3500383339,9.14,中价品,,玩偶及配饰
[kokiyaMY] 5根巴尔沙木条实木棒木工模型 250 x 50 x 3/5/8毫米,250 x 50 x 3毫米,3.76,https://cf.shopee.com.my/file/4c904af58048c05fbcfc50ea7614b190,http://shopee.com.my/product/140618040/6608148269,玩具,益智类玩具,IVCN202605260017,10369568855,https://detail.1688.com/offer/1006693084335.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i8&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,爆品竞价,5月26日,6608148269,3.76,中价品,,艺术品/美术品/diy品
~吉隆坡发货~ 93厘米超大厨房玩具套装，带音乐和喷雾功能，儿童过家家玩具,41厘米 37件 粉色,26.96,https://cf.shopee.com.my/file/my-11134207-7rase-mamvxl5pn7l789,http://shopee.com.my/product/15059375/7314919614,玩具,过家家玩具,IVCN202605260019,13067076531,https://detail.1688.com/offer/831082079169.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,爆品竞价,5月26日,7314919614,26.96,高价品,,
